1,0.25,1500,12040
2,0.27,29916,780137
3,0.33,29916,780137
4,0.41,1500,12040
5,0.40,1500,12040
6,0.39,29916,780137
7,0.22,29916,780137
8,0.21,170334,1058
9,0.20,170334,1058
10,0.18,170334,1058
11,0.29,1500,12040
12,0.17,1500,12040
13,0.30,170334,1058
14,0.66,29916,780137
15,0.5,1500,12040
16,0.87,170334,1058
17,0.90,29916,780137
18,0.91,170334,1058
19,0.92,29916,780137
20,0.90,1500,12040
21,0.85,170334,1058
22,0.70,1500,12040
23,0.72,170334,1058
24,0.65,1500,12040
25,0.64,170334,1058
26,0.66,170334,1058
27,0.52,29916,780137
28,0.5,1500,12040
29,0.17,29916,780137
30,0.22,1500,12040
